Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,28/09/2024,19:30,Preußen Münster,Schalke 04,1,2,A,,,,,,11,9,3,3,0,0
2024/25,28/09/2024,12:00,Regensburg,Kaiserslautern,0,0,D,,,,,,9,14,2,4,0,0
2024/25,29/09/2024,12:30,FC Koln,Karlsruhe,4,4,D,,,,,,8,9,0,3,0,0
2024/25,29/09/2024,12:30,Hannover,Nurnberg,2,0,H,,,,,,16,16,2,2,0,0
2024/25,29/09/2024,12:30,Hertha,Elversberg,1,4,A,,,,,,17,7,3,5,0,0
2024/25,04/10/2024,17:30,Karlsruhe,Darmstadt,3,3,D,,,,,,10,6,4,1,0,0
2024/25,04/10/2024,17:30,Paderborn,Regensburg,3,0,H,,,,,,9,8,2,3,0,0
2024/25,05/10/2024,12:00,Elversberg,Kaiserslautern,1,0,H,,,,,,17,18,3,2,0,0
2024/25,05/10/2024,12:00,FC Koln,Ulm,2,0,H,,,,,,15,7,4,1,0,1
2024/25,05/10/2024,12:00,Nurnberg,Preußen Münster,3,2,H,,,,,,13,19,1,3,0,0
2024/25,05/10/2024,19:30,Schalke 04,Hertha,2,2,D,,,,,,8,16,4,4,0,0
2024/25,06/10/2024,12:30,Braunschweig,Hannover,2,0,H,,,,,,16,13,2,4,0,0
2024/25,06/10/2024,12:30,Dusseldorf,Hamburg,0,3,A,,,,,,8,9,2,2,1,0
2024/25,06/10/2024,12:30,Magdeburg,Greuther Furth,2,2,D,,,,,,16,16,3,0,0,0
2024/25,18/10/2024,17:30,Darmstadt,FC Koln,5,1,H,,,,,,11,10,2,3,0,0
2024/25,18/10/2024,17:30,Hertha,Braunschweig,3,1,H,,,,,,9,7,4,1,0,1
2024/25,19/10/2024,12:00,Hannover,Schalke 04,1,0,H,,,,,,15,14,0,4,0,0
2024/25,19/10/2024,19:30,Kaiserslautern,Paderborn,3,0,H,,,,,,12,15,3,3,0,1
2024/25,19/10/2024,12:00,Preußen Münster,Elversberg,1,1,D,,,,,,13,7,4,2,0,0
2024/25,19/10/2024,12:00,Regensburg,Dusseldorf,0,3,A,,,,,,19,11,4,1,2,0
2024/25,20/10/2024,12:30,Greuther Furth,Nurnberg,0,4,A,,,,,,20,10,3,2,0,0
2024/25,20/10/2024,12:30,Hamburg,Magdeburg,3,1,H,,,,,,7,10,2,2,1,0
2024/25,20/10/2024,12:30,Ulm,Karlsruhe,0,1,A,,,,,,5,6,3,3,0,0
2024/25,25/10/2024,17:30,FC Koln,Paderborn,1,2,A,,,,,,6,11,1,4,0,0
2024/25,25/10/2024,17:30,Nurnberg,Regensburg,8,3,H,,,,,,13,13,0,3,0,0
2024/25,26/10/2024,19:30,Dusseldorf,Kaiserslautern,3,4,A,,,,,,10,8,2,3,0,0
2024/25,26/10/2024,12:00,Elversberg,Hamburg,4,2,H,,,,,,10,14,0,0,0,0
2024/25,26/10/2024,12:00,Karlsruhe,Hertha,1,3,A,,,,,,12,13,6,4,0,0
2024/25,26/10/2024,12:00,Schalke 04,Greuther Furth,3,4,A,,,,,,13,13,6,3,1,0
2024/25,27/10/2024,12:30,Braunschweig,Preußen Münster,1,1,D,,,,,,8,16,2,2,0,0
2024/25,27/10/2024,12:30,Darmstadt,Ulm,1,1,D,,,,,,9,14,2,3,0,0
2024/25,27/10/2024,12:30,Magdeburg,Hannover,0,3,A,,,,,,9,16,3,3,0,0
2024/25,01/11/2024,17:30,Preußen Münster,Dusseldorf,1,0,H,,,,,,9,10,0,2,0,0
2024/25,01/11/2024,17:30,Ulm,Schalke 04,0,0,D,,,,,,6,13,2,3,0,0
2024/25,02/11/2024,12:00,Greuther Furth,Darmstadt,1,5,A,,,,,,5,9,1,0,0,0
2024/25,02/11/2024,12:00,Hannover,Karlsruhe,2,1,H,,,,,,13,16,3,2,0,0
2024/25,02/11/2024,19:30,Hertha,FC Koln,0,1,A,,,,,,10,16,4,2,0,0
2024/25,02/11/2024,12:00,Regensburg,Elversberg,1,0,H,,,,,,9,8,1,2,1,0
2024/25,03/11/2024,12:30,Hamburg,Nurnberg,1,1,D,,,,,,10,12,1,3,0,0
2024/25,03/11/2024,12:30,Kaiserslautern,Magdeburg,2,2,D,,,,,,10,15,2,5,0,2
2024/25,03/11/2024,12:30,Paderborn,Braunschweig,0,0,D,,,,,,8,11,0,2,1,0
